airflow_coefficient,DP_coefficient,DT_coefficient,zone_T_coefficient,occ_coefficient,selector
0.405393564,0.931187147,0.424968531,0.141441366,0.961071334,0
0.501739739,0.920924736,0.758692853,0.046706128,0.966432659,0
0.408650391,0.936221177,0.98077256,0,1,0
0.175553166,0.959257634,0.565721423,0.22103357,0.954666769,0
0.452916156,0.922835362,0.671525674,0.770394978,0.0859382,1
0.432051297,0.911853314,0.624858646,0.120934852,0.958686061,0
0.340213396,0.953799947,0.645914222,0.109418898,0.963839303,1
0.379972188,0.876482112,0.657179396,0.163312631,0.968796125,0
0.312464386,0.950440238,0.724119395,0.105618842,0.963065206,1
0.421040253,0.928637023,0,0.201148321,0.958450733,1
0.393181884,0.935047399,0.480255596,0.134459906,0.959213435,0
0.321175185,0.942556011,0.707811338,0.837161326,0,1
0.41286642,0.932514626,0.397857052,0.150231204,0.949764699,1
0.496044848,0.908707253,0.793732898,0.065036919,0.957601826,0
0.401130622,0.931939988,0.204116637,0.179737075,0.958998432,0
0.461554545,0.918350902,1,0.006714903,0.957214091,1
0.461554545,0.918350902,1,0.006714903,0.957214091,1
0.409594454,0.939784918,0.621199074,0.089638581,0.956842919,0
0,0.906861252,0.842801116,0.401515996,0.960868877,1
0.413413896,0.933365886,0.286399771,0.158408497,0.958686061,0
0.37451867,0.953943524,0.747041183,0.078364019,0.963278245,0
0.229126979,0.97254722,0.52325791,0.178311196,0.963597985,0
0.859146578,0,0.897861064,1,0.931215902,0
0.831948762,0.732224932,0.547452458,0.202401888,0.98827261,1
0.410637005,0.926641893,0.380682751,0.152172131,0.958686061,0
1,0.530117501,0.669702148,0.19537209,0.956778924,0
0.362069506,0.930144284,0.529115143,0.148408298,0.959240474,1
0.595348546,0.917858189,0.508149435,0.056581493,0.964436905,1
0.458700477,0.908931285,0.563859107,0.128139221,0.959740261,0
0.443440868,0.925912113,0.486178378,0.122313246,0.959429678,0
0.417242756,0.931665276,0.334090024,0.151420299,0.958686061,0
0.412370179,0.909166192,0.208017915,0.182695798,0.958686061,0
0.411281844,0.932714372,0.168548347,0.177396879,0.95880795,0
0.228937538,1,0.765756657,0.113507216,0.956373749,0
0.211227856,0.984221059,0.699416629,0.110893257,0.960969207,0
0.289195159,0.948559963,0.535532001,0.158558672,0.959287163,1
0.419016456,0.930857017,0.238979106,0.165235968,0.958960127,1
0.548066633,0.914415468,0.759707556,0.041888421,0.965005534,0
